"ble_offset","app_field","sram","modbus","herkunft","nur"
"","","0x20014FB6","30101","pack1_bat_curr_mirror","nur Modbus"
"","","0x20014FC4","30102","pack1_max_cell_voltage_mirror","nur Modbus"
"","","0x20014FC6","30103","pack1_min_cell_voltage_mirror","nur Modbus"
"","","0x20014FC8","30104","pack1_max_cell_temp","nur Modbus"
"","","0x20014FCA","30105","pack1_min_cell_temp","nur Modbus"
"","","0x20015002","30106","pack1_temp_3_mirror","nur Modbus"
"","","0x20014FFE","30107","pack1_temp_1_mirror","nur Modbus"
"","","0x20015000","30108","pack1_temp_2_mirror","nur Modbus"
"","","0x20014FAC","30109","bms_factory_test","nur Modbus"
"","","0x20014FAF","30110","config_setpoint_mirror","nur Modbus"
"","","0x08010000","30200","ems_ver","nur Modbus"
"","","0x20000038","30201","ems_boot_ver","nur Modbus"
"","","0x20000160","30203","vns_boot_ver","nur Modbus"
"","","0x20014FD2","30204","bms_ver","nur Modbus"
"","","0x20014FC2","30210","pack1_mos_status_mirror","nur Modbus"
"","","0x20000165","30211","config_byte_can54","nur Modbus"
"","","0x20000138","30212","pack_config","nur Modbus"
"","","0x20000164","30213","config_byte_canc1","nur Modbus"
"","","0x20014FAE","30214","bms_self_check","nur Modbus"
"","","0x20018B5C","30301","bluetooth_status","nur Modbus"
"","","0x2001916D","30302","cloud_status","nur Modbus"
"","","0x20001F4D","30303","wifi_signal_strength","nur Modbus"
"","","0x2001894E","30304","mac_address","nur Modbus"
"","","0x200180F0","30350","comm_module_firmware","nur Modbus"
"","","0x2001ADC5","30400","ip_addresses","nur Modbus"
"","","0x20014CE0","31000","device_name","nur Modbus"
"","","0x20014F8E","32100","bms_battery_voltage","nur Modbus"
"","","0x20014F90","32101","bms_battery_current","nur Modbus"
"","","0x20014EB8","32102","bat_sample_power","nur Modbus"
"","","0x20014F94","32104","bms_soc","nur Modbus"
"","","0x20014F96","32105","bms_remaining_energy","nur Modbus"
"","","0x20014FA0","32106","bms_charge_current_limit","nur Modbus"
"","","0x20014FA2","32107","bms_discharge_current_limit","nur Modbus"
"","","0x20014F92","32108","bms_battery_temp","nur Modbus"
"","","0x20014F98","32109","bms_pack_count","nur Modbus"
"","","0x20014FAD","32112","bms_lock_flag","nur Modbus"
"","","0x20014FAC","32113","bms_factory_test","nur Modbus"
"","","0x20014FAF","32114","config_setpoint_20014FAF","nur Modbus"
"","","0x20014EAC","32200","grid_volt","nur Modbus"
"","","0x20014EAC","32201","grid_volt_dup","nur Modbus"
"","","0x20014EAE","32204","grid_pf","nur Modbus"
"","","0x20014EB0","32300","off_grid_volt","nur Modbus"
"","","0x20014EB0","32301","ac_offgrid_voltage_dup","nur Modbus"
"","","0x20014D9C","33000","total_charging_energy","nur Modbus"
"","","0x20014DA0","33002","total_discharging_energy","nur Modbus"
"","","0x20014DAC","33004","daily_charging_energy","nur Modbus"
"","","0x20014DB0","33006","daily_discharging_energy","nur Modbus"
"","","0x20014DA8","33010","monthly_discharging_energy","nur Modbus"
"","","0x20014FB4","34000","pack1_bat_volt","nur Modbus"
"","","0x20014FB6","34001","pack1_bat_curr","nur Modbus"
"","","0x20014FB8","34002","pack1_soc","nur Modbus"
"","","0x20014FBA","34003","pack1_cycle_count","nur Modbus"
"","","0x20014FC2","34004","pack1_mos_status","nur Modbus"
"","","0x20014FC4","34005","pack1_max_cell_voltage","nur Modbus"
"","","0x20014FC6","34006","pack1_min_cell_voltage","nur Modbus"
"","","0x20014FCC","34007","pack1_protect1","nur Modbus"
"","","0x20014FCE","34008","pack1_protect2","nur Modbus"
"","","0x20014FD0","34009","pack1_bms_reserved_5a","nur Modbus"
"","","0x20014FD2","34010","pack1_bms_version","nur Modbus"
"","","0x20014FFE","34011","pack1_temp_1","nur Modbus"
"","","0x20015000","34012","pack1_temp_2","nur Modbus"
"","","0x20014FF4","34013","pack1_ntc_block","nur Modbus"
"","","0x20015002","34017","pack1_ntc_unused","nur Modbus"
"","","0x20014FD4","34018","pack1_cell_voltage_1_16","nur Modbus"
"","","0x20015014","34100","pack2_bat_volt","nur Modbus"
"","","0x20015016","34101","pack2_bat_curr","nur Modbus"
"","","0x20015018","34102","pack2_soc","nur Modbus"
"","","0x2001501A","34103","pack2_cycle_count","nur Modbus"
"","","0x20015022","34104","pack2_mos_status","nur Modbus"
"","","0x20015024","34105","pack2_max_cell_voltage","nur Modbus"
"","","0x20015026","34106","pack2_min_cell_voltage","nur Modbus"
"","","0x2001502C","34107","pack2_protect1","nur Modbus"
"","","0x2001502E","34108","pack2_protect2","nur Modbus"
"","","0x20015030","34109","pack2_bms_reserved_5a","nur Modbus"
"","","0x20015032","34110","pack2_bms_version","nur Modbus"
"","","0x2001505E","34111","pack2_temp_1","nur Modbus"
"","","0x20015060","34112","pack2_temp_2","nur Modbus"
"","","0x20015054","34113","pack2_ntc_block","nur Modbus"
"","","0x20015062","34117","pack2_ntc_unused","nur Modbus"
"","","0x20015034","34118","pack2_cell_voltage_1_16","nur Modbus"
"","","0x20015074","34200","pack3_bat_volt","nur Modbus"
"","","0x20015076","34201","pack3_bat_curr","nur Modbus"
"","","0x20015078","34202","pack3_soc","nur Modbus"
"","","0x2001507A","34203","pack3_cycle_count","nur Modbus"
