Register,08:47:41,08:48:02,08:48:24
34611,0,0,0
34612,0,0,0
34613,0,0,0
34614,0,0,0
34615,0,0,0
34616,0,0,0
34617,0,0,0
34618,0,0,0
34619,0,0,0
34620,0,0,0
34621,0,0,0
34622,0,0,0
34623,0,0,0
34624,0,0,0
34625,0,0,0
34626,0,0,0
34627,0,0,0
34628,0,0,0
34629,0,0,0
34630,0,0,0
34631,0,0,0
34632,0,0,0
34633,0,0,0
35000,307,305,304
35001,329,327,325
35002,328,327,325
35010,261,261,260
35011,257,257,257
35100,6,6,6
35110,576,576,576
35111,500,500,500
35112,500,500,500
36000,0,0,0
36001,0,0,0
36100,0,0,0
36101,0,0,0
36102,0,0,0
36103,0,0,0
37000,1,1,1
37001,0,0,0
37002,0,0,0
37003,0,0,0
37004,0,0,0
37005,30,30,30
37006,261,261,261
37007,3285,3284,3285
37008,3282,3283,3283
37009,0,0,0
37010,0,0,0
37011,0,0,0
37012,116,116,116
37013,0,0,0
37014,0,0,0
37015,0,0,0
37016,0,0,0
37017,0,0,0
37018,0,0,0
37019,0,0,0
37020,0,0,0
37021,0,0,0
37022,0,0,0
37023,0,0,0
37024,0,0,0
41000,0,0,0
41100,1,1,1
41200,0,0,0
42000,21947,21947,
42010,0,0,
42011,0,0,
42020,0,0,
42021,0,0,
43000,0,0,
43100,127,127,
43101,0,0,
43102,0,0,
43103,2200,2200,
43104,0,0,
43105,0,0,
43106,0,0,
43107,0,0,
43108,0,0,
43109,0,0,
43110,0,0,
43111,0,0,
43112,0,0,
43113,0,0,
43114,0,0,
43115,0,0,
43116,0,0,
43117,0,0,
43118,0,0,
43119,0,0,
43120,0,0,
43121,0,0,
43122,0,0,
43123,0,0,
43124,0,0,
43125,0,0,
43126,0,0,
43127,0,0,
43128,0,0,
43129,0,0,
44002,0,0,
44003,0,0,
