timestamp,Register,raw_uint16,raw_int16,hex,name,interpreted
23:40:07,34020,3330,3330,0x0D02,p1_cell3,3.33 V
23:40:07,34021,3332,3332,0x0D04,p1_cell4,3.33 V
23:40:07,34022,3331,3331,0x0D03,p1_cell5,3.33 V
23:40:07,34023,3331,3331,0x0D03,p1_cell6,3.33 V
23:40:07,34024,3330,3330,0x0D02,p1_cell7,3.33 V
23:40:07,34025,3331,3331,0x0D03,p1_cell8,3.33 V
23:40:07,34026,3330,3330,0x0D02,p1_cell9,3.33 V
23:40:07,34027,3331,3331,0x0D03,p1_cell10,3.33 V
23:40:07,34028,3331,3331,0x0D03,p1_cell11,3.33 V
23:40:07,34029,3331,3331,0x0D03,p1_cell12,3.33 V
23:40:07,34030,3330,3330,0x0D02,p1_cell13,3.33 V
23:40:07,34031,3332,3332,0x0D04,p1_cell14,3.33 V
23:40:07,34032,3330,3330,0x0D02,p1_cell15,3.33 V
23:40:07,34033,3330,3330,0x0D02,p1_cell16,3.33 V
23:40:07,34100,5326,5326,0x14CE,p2_bat_volt,53.26 V
23:40:07,34101,0,0,0x0000,p2_bat_curr,0 A
23:40:07,34102,897,897,0x0381,p2_bat_soc,89.70 %
23:40:07,34103,10,10,0x000A,p2_cycle_cnt,10
23:40:07,34104,0,0,0x0000,p2_max_cell_v,0 V
23:40:07,34105,3330,3330,0x0D02,?,
23:40:07,34106,3328,3328,0x0D00,p2_min_cell_v,3.33 V
23:40:07,34107,0,0,0x0000,p2_max_ntc,0 °C
23:40:07,34108,0,0,0x0000,p2_protect1,0x0000
23:40:07,34109,0,0,0x0000,p2_protect2,0x0000
23:40:07,34110,118,118,0x0076,p2_bms_ver,118
23:40:07,34111,305,305,0x0131,p2_ntc0,30.50 °C
23:40:07,34112,245,245,0x00F5,p2_ntc1,24.50 °C
23:40:07,34113,247,247,0x00F7,p2_ntc2,24.70 °C
23:40:07,34114,246,246,0x00F6,p2_ntc3,24.60 °C
23:40:07,34115,248,248,0x00F8,p2_mos_ntc,24.80 °C
23:40:07,34116,247,247,0x00F7,p2_env_ntc,24.70 °C
23:40:07,34117,0,0,0x0000,p2_avg_ntc,0 °C
23:40:07,34118,3329,3329,0x0D01,p2_cell1,3.33 V
23:40:07,34119,3328,3328,0x0D00,p2_cell2,3.33 V
23:40:07,34120,3329,3329,0x0D01,p2_cell3,3.33 V
23:40:07,34121,3329,3329,0x0D01,p2_cell4,3.33 V
23:40:07,34122,3328,3328,0x0D00,p2_cell5,3.33 V
23:40:07,34123,3330,3330,0x0D02,p2_cell6,3.33 V
23:40:07,34124,3329,3329,0x0D01,p2_cell7,3.33 V
23:40:07,34125,3330,3330,0x0D02,p2_cell8,3.33 V
23:40:07,34126,3328,3328,0x0D00,p2_cell9,3.33 V
23:40:07,34127,3330,3330,0x0D02,p2_cell10,3.33 V
23:40:07,34128,3328,3328,0x0D00,p2_cell11,3.33 V
23:40:07,34129,3330,3330,0x0D02,p2_cell12,3.33 V
23:40:07,34130,3328,3328,0x0D00,p2_cell13,3.33 V
23:40:07,34131,3329,3329,0x0D01,p2_cell14,3.33 V
23:40:07,34132,3329,3329,0x0D01,p2_cell15,3.33 V
23:40:07,34133,3328,3328,0x0D00,p2_cell16,3.33 V
23:40:07,34200,5327,5327,0x14CF,p3_bat_volt,53.27 V
23:40:07,34201,0,0,0x0000,p3_bat_curr,0 A
23:40:07,34202,897,897,0x0381,p3_bat_soc,89.70 %
23:40:07,34203,17,17,0x0011,p3_cycle_cnt,17
23:40:07,34204,0,0,0x0000,p3_max_cell_v,0 V
23:40:07,34205,3331,3331,0x0D03,?,
23:40:07,34206,3329,3329,0x0D01,p3_min_cell_v,3.33 V
23:40:07,34207,0,0,0x0000,p3_max_ntc,0 °C
23:40:07,34208,0,0,0x0000,p3_protect1,0x0000
23:40:07,34209,0,0,0x0000,p3_protect2,0x0000
23:40:07,34210,118,118,0x0076,p3_bms_ver,118
23:40:07,34211,305,305,0x0131,p3_ntc0,30.50 °C
23:40:07,34212,244,244,0x00F4,p3_ntc1,24.40 °C
23:40:07,34213,244,244,0x00F4,p3_ntc2,24.40 °C
23:40:07,34214,243,243,0x00F3,p3_ntc3,24.30 °C
23:40:07,34215,242,242,0x00F2,p3_mos_ntc,24.20 °C
23:40:07,34216,241,241,0x00F1,p3_env_ntc,24.10 °C
23:40:07,34217,0,0,0x0000,p3_avg_ntc,0 °C
23:40:07,34218,3330,3330,0x0D02,p3_cell1,3.33 V
23:40:07,34219,3330,3330,0x0D02,p3_cell2,3.33 V
23:40:07,34220,3329,3329,0x0D01,p3_cell3,3.33 V
23:40:07,34221,3330,3330,0x0D02,p3_cell4,3.33 V
23:40:07,34222,3330,3330,0x0D02,p3_cell5,3.33 V
23:40:07,34223,3331,3331,0x0D03,p3_cell6,3.33 V
23:40:07,34224,3330,3330,0x0D02,p3_cell7,3.33 V
