Register,15:09:18,15:09:24,15:09:30,15:09:37,15:09:43,15:09:49,15:09:55,15:10:02,15:10:08,15:10:14,15:10:20,15:10:27,15:10:33,15:10:39,15:10:45,15:11:22,15:11:55,15:12:01,15:12:08,15:12:33,15:13:09,15:13:33,15:13:52,15:14:29,15:15:06,15:15:26,15:15:32
36102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,0,,,,0,0,
36103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,0,,,,0,0,
37000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,,,1,,,,1,1,
37001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,0,,,,0,0,
37002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,0,,,,0,0,
37003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,0,,,,0,0,
37005,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,99,99,,,99,,,,99,99,
37009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,0,,,,0,0,
37010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,0,,,,0,0,
37011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,0,,,,0,0,
37013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,0,,,,0,0,
37014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,0,,,,0,0,
37015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,0,,,,0,0,
37017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,0,,,,0,0,
37018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,0,,,,0,0,
37019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,0,,,,0,0,
37020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,0,,,,0,0,
37021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,0,,,,0,0,
37023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,0,,,,0,0,
37024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,0,,,,0,0,
42010,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,0,0,,,0,,,,0,0,
42011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,,0,0,
44002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,,0,0,
44003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,,0,0,
