Register,15:37:13,15:37:20,15:37:28,15:37:35,15:37:43,15:37:50,15:37:57,15:38:05,15:38:12,15:38:20,15:38:27,15:38:34,15:38:42,15:38:49,15:38:57,15:39:04,15:39:11,15:39:19
34117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
35100,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,
35111,100,100,100,100,100,100,0,0,0,0,0,0,100,100,100,100,100,
36000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
36001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
36100,0,0,0,0,0,0,0,0,16,16,16,16,0,0,0,0,0,
36101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
36102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
36103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
37001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37005,99,99,99,99,99,99,0,0,0,0,0,0,99,99,99,99,99,
37009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
