Register,12:11:55,12:12:05,12:12:15,12:12:25,12:12:35,12:13:18,12:13:28,12:13:38,12:13:48,12:13:59,12:14:09,12:14:19,12:14:29,12:14:39,12:14:49,12:14:59,12:15:09,12:15:19,12:15:29,12:15:39,12:15:49
37000,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
37001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37005,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,
37009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37014,128,128,128,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
42010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
42011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
42021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
44002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
44003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
