Register,raw_uint16,raw_int16,hex
34331,3378,3378,0x0D32
34332,3376,3376,0x0D30
34333,3375,3375,0x0D2F
34400,0,0,0x0000
34401,0,0,0x0000
34402,0,0,0x0000
34403,0,0,0x0000
34404,0,0,0x0000
34405,0,0,0x0000
34406,0,0,0x0000
34407,0,0,0x0000
34408,0,0,0x0000
34409,0,0,0x0000
34410,0,0,0x0000
34411,0,0,0x0000
34412,0,0,0x0000
34413,0,0,0x0000
34414,0,0,0x0000
34415,0,0,0x0000
34416,0,0,0x0000
34417,0,0,0x0000
34418,0,0,0x0000
34419,0,0,0x0000
34420,0,0,0x0000
34421,0,0,0x0000
34422,0,0,0x0000
34423,0,0,0x0000
34424,0,0,0x0000
34425,0,0,0x0000
34426,0,0,0x0000
34427,0,0,0x0000
34428,0,0,0x0000
34429,0,0,0x0000
34430,0,0,0x0000
34431,0,0,0x0000
34432,0,0,0x0000
34433,0,0,0x0000
34500,0,0,0x0000
34501,0,0,0x0000
34502,0,0,0x0000
34503,0,0,0x0000
34504,0,0,0x0000
34505,0,0,0x0000
34506,0,0,0x0000
34507,0,0,0x0000
34508,0,0,0x0000
34509,0,0,0x0000
34510,0,0,0x0000
34511,0,0,0x0000
34512,0,0,0x0000
34513,0,0,0x0000
34514,0,0,0x0000
34515,0,0,0x0000
34516,0,0,0x0000
34517,0,0,0x0000
34518,0,0,0x0000
34519,0,0,0x0000
34520,0,0,0x0000
34521,0,0,0x0000
34522,0,0,0x0000
34523,0,0,0x0000
34524,0,0,0x0000
34525,0,0,0x0000
34526,0,0,0x0000
34527,0,0,0x0000
34528,0,0,0x0000
34529,0,0,0x0000
34530,0,0,0x0000
34531,0,0,0x0000
34532,0,0,0x0000
34533,0,0,0x0000
34600,0,0,0x0000
34601,0,0,0x0000
34602,0,0,0x0000
34603,0,0,0x0000
34604,0,0,0x0000
34605,0,0,0x0000
34606,0,0,0x0000
34607,0,0,0x0000
34608,0,0,0x0000
34609,0,0,0x0000
34610,0,0,0x0000
34611,0,0,0x0000
34612,0,0,0x0000
34613,0,0,0x0000
34614,0,0,0x0000
34615,0,0,0x0000
34616,0,0,0x0000
34617,0,0,0x0000
34618,0,0,0x0000
34619,0,0,0x0000
34620,0,0,0x0000
34621,0,0,0x0000
34622,0,0,0x0000
34623,0,0,0x0000
34624,0,0,0x0000
34625,0,0,0x0000
34626,0,0,0x0000
34627,0,0,0x0000
34628,0,0,0x0000
34629,0,0,0x0000
34630,0,0,0x0000
34631,0,0,0x0000
34632,0,0,0x0000
34633,0,0,0x0000
35000,326,326,0x0146
35001,335,335,0x014F
35002,335,335,0x014F
35010,276,276,0x0114
35011,266,266,0x010A
35100,2,2,0x0002
35110,576,576,0x0240
35111,500,500,0x01F4
35112,500,500,0x01F4
36000,0,0,0x0000
36001,0,0,0x0000
36100,0,0,0x0000
36101,0,0,0x0000
36102,0,0,0x0000
36103,0,0,0x0000
37000,1,1,0x0001
37001,0,0,0x0000
37002,0,0,0x0000
37003,0,0,0x0000
37004,63364,-2172,0xF784
37005,50,50,0x0032
37006,276,276,0x0114
37007,3308,3308,0x0CEC
37008,3306,3306,0x0CEA
37009,0,0,0x0000
37010,0,0,0x0000
37011,0,0,0x0000
37012,116,116,0x0074
37013,0,0,0x0000
37014,0,0,0x0000
37015,0,0,0x0000
37016,0,0,0x0000
37017,0,0,0x0000
37018,0,0,0x0000
37019,0,0,0x0000
37020,0,0,0x0000
37021,0,0,0x0000
37022,0,0,0x0000
37023,0,0,0x0000
37024,0,0,0x0000
41000,0,0,0x0000
41100,1,1,0x0001
41200,1,1,0x0001
42000,21930,21930,0x55AA
42010,1,1,0x0001
42011,0,0,0x0000
42020,2200,2200,0x0898
42021,0,0,0x0000
43000,1,1,0x0001
43100,0,0,0x0000
43101,0,0,0x0000
43102,0,0,0x0000
43103,0,0,0x0000
43104,0,0,0x0000
43105,0,0,0x0000
43106,0,0,0x0000
43107,0,0,0x0000
43108,0,0,0x0000
43109,0,0,0x0000
43110,0,0,0x0000
43111,0,0,0x0000
43112,0,0,0x0000
43113,0,0,0x0000
43114,0,0,0x0000
43115,0,0,0x0000
43116,0,0,0x0000
43117,0,0,0x0000
43118,0,0,0x0000
43119,0,0,0x0000
43120,0,0,0x0000
43121,0,0,0x0000
43122,0,0,0x0000
43123,0,0,0x0000
43124,0,0,0x0000
43125,0,0,0x0000
43126,0,0,0x0000
43127,0,0,0x0000
43128,0,0,0x0000
43129,0,0,0x0000
44002,0,0,0x0000
44003,0,0,0x0000
