Register,12:16:10,12:16:32,12:16:53,12:17:14,12:17:36,12:17:57,12:18:19
34125,3250,3252,3255,3256,3254,3258,3258
34126,3249,3251,3253,3254,3255,3257,3257
34127,3250,3252,3253,3255,3255,3257,3258
34128,3249,3251,3252,3254,3253,3256,3258
34129,3250,3252,3253,3255,3254,3256,3258
34130,3250,3251,3253,3255,3254,3257,3257
34131,3253,3254,3255,3256,3255,3259,3259
34132,3252,3253,3256,3257,3256,3259,3258
34133,3249,3251,3254,3255,3254,3258,3258
34200,5119,5118,5118,5119,5119,5120,5119
34201,0,0,0,0,0,0,0
34202,100,100,100,100,100,100,100
34203,49,49,49,49,49,49,49
34204,0,0,0,0,0,0,0
34205,3200,3200,3200,3201,3201,3202,3201
34206,3198,3198,3198,3198,3199,3199,3199
34207,0,0,0,0,0,0,0
34208,0,0,0,0,0,0,0
34209,0,0,0,0,0,0,0
34210,116,116,116,116,116,116,116
34211,329,328,329,329,328,329,328
34212,277,276,276,275,275,275,274
34213,259,259,259,259,259,259,259
34214,259,260,260,260,260,260,259
34215,259,259,259,259,259,259,259
34216,256,257,257,257,257,257,256
34217,0,0,0,0,0,0,0
34218,3199,3200,3199,3200,3200,3199,3200
34219,3200,3199,3200,3200,3200,3201,3200
34220,3200,3199,3200,3200,3200,3200,3200
34221,3200,3199,3200,3201,3200,3201,3201
34222,3199,3198,3199,3199,3199,3200,3199
34223,3200,3199,3199,3200,3200,3202,3200
34224,3200,3200,3199,3200,3200,3200,3200
34225,3200,3200,3199,3200,3200,3201,3201
34226,3199,3199,3199,3200,3199,3200,3199
34227,3200,3200,3200,3200,3200,3202,3201
34228,3199,3199,3199,3199,3200,3200,3200
34229,3200,3199,3200,3201,3201,3200,3200
34230,3198,3199,3199,3199,3200,3199,3200
34231,3200,3199,3200,3201,3200,3201,3200
34232,3199,3198,3198,3199,3199,3199,3199
34233,3199,3199,3199,3199,3199,3199,3199
34300,5116,5116,5117,5117,5117,5118,5118
34301,0,0,0,0,0,0,0
34302,106,106,106,106,106,106,106
34303,45,45,45,45,45,45,45
34304,0,0,0,0,0,0,0
34305,3199,3200,3200,3199,3200,3200,3200
34306,3197,3197,3197,3197,3197,3198,3198
34307,0,0,0,0,0,0,0
34308,0,0,0,0,0,0,0
34309,0,0,0,0,0,0,0
34310,116,116,116,116,116,116,116
34311,312,311,312,311,311,310,311
34312,266,266,265,264,264,264,263
34313,254,254,254,254,254,254,254
34314,262,262,262,262,262,262,262
34315,251,251,251,251,251,251,251
34316,260,260,260,260,260,260,260
34317,0,0,0,0,0,0,0
34318,3198,3198,3199,3199,3198,3199,3199
34319,3198,3197,3198,3198,3198,3199,3199
34320,3197,3198,3197,3198,3197,3198,3199
34321,3198,3199,3199,3198,3200,3199,3200
34322,3197,3198,3198,3198,3198,3200,3199
34323,3198,3199,3200,3198,3199,3200,3200
34324,3197,3197,3198,3197,3198,3198,3199
34325,3199,3198,3198,3199,3199,3199,3199
34326,3197,3199,3198,3198,3198,3198,3199
34327,3197,3197,3198,3199,3200,3199,3199
34328,3197,3197,3198,3197,3198,3198,3198
34329,3198,3199,3198,3199,3199,3199,3200
34330,3197,3197,3197,3198,3199,3198,3199
34331,3199,3200,3199,3199,3199,3200,3200
34332,3197,3197,3198,3198,3197,3199,3199
34333,3197,3198,3198,3198,3198,3198,3198
34400,0,0,0,0,0,0,0
34401,0,0,0,0,0,0,0
34402,0,0,0,0,0,0,0
34403,0,0,0,0,0,0,0
34404,0,0,0,0,0,0,0
34405,0,0,0,0,0,0,0
34406,0,0,0,0,0,0,0
34407,0,0,0,0,0,0,0
34408,0,0,0,0,0,0,0
34409,0,0,0,0,0,0,0
34410,0,0,0,0,0,0,0
34411,0,0,0,0,0,0,0
34412,0,0,0,0,0,0,0
34413,0,0,0,0,0,0,0
34414,0,0,0,0,0,0,0
34415,0,0,0,0,0,0,0
34416,0,0,0,0,0,0,0
34417,0,0,0,0,0,0,0
34418,0,0,0,0,0,0,0
34419,0,0,0,0,0,0,0
34420,0,0,0,0,0,0,0
34421,0,0,0,0,0,0,0
34422,0,0,0,0,0,0,0
34423,0,0,0,0,0,0,0
34424,0,0,0,0,0,0,0
34425,0,0,0,0,0,0,0
34426,0,0,0,0,0,0,0
34427,0,0,0,0,0,0,0
34428,0,0,0,0,0,0,0
34429,0,0,0,0,0,0,0
34430,0,0,0,0,0,0,0
34431,0,0,0,0,0,0,0
34432,0,0,0,0,0,0,0
34433,0,0,0,0,0,0,0
34500,0,0,0,0,0,0,0
34501,0,0,0,0,0,0,0
34502,0,0,0,0,0,0,0
34503,0,0,0,0,0,0,0
34504,0,0,0,0,0,0,0
34505,0,0,0,0,0,0,0
34506,0,0,0,0,0,0,0
34507,0,0,0,0,0,0,0
34508,0,0,0,0,0,0,0
34509,0,0,0,0,0,0,0
34510,0,0,0,0,0,0,0
34511,0,0,0,0,0,0,0
34512,0,0,0,0,0,0,0
34513,0,0,0,0,0,0,0
34514,0,0,0,0,0,0,0
34515,0,0,0,0,0,0,0
34516,0,0,0,0,0,0,0
34517,0,0,0,0,0,0,0
34518,0,0,0,0,0,0,0
34519,0,0,0,0,0,0,0
34520,0,0,0,0,0,0,0
34521,0,0,0,0,0,0,0
34522,0,0,0,0,0,0,0
34523,0,0,0,0,0,0,0
34524,0,0,0,0,0,0,0
34525,0,0,0,0,0,0,0
34526,0,0,0,0,0,0,0
34527,0,0,0,0,0,0,0
34528,0,0,0,0,0,0,0
34529,0,0,0,0,0,0,0
34530,0,0,0,0,0,0,0
34531,0,0,0,0,0,0,0
34532,0,0,0,0,0,0,0
34533,0,0,0,0,0,0,0
34600,0,0,0,0,0,0,0
34601,0,0,0,0,0,0,0
34602,0,0,0,0,0,0,0
34603,0,0,0,0,0,0,0
34604,0,0,0,0,0,0,0
34605,0,0,0,0,0,0,0
34606,0,0,0,0,0,0,0
34607,0,0,0,0,0,0,0
34608,0,0,0,0,0,0,0
34609,0,0,0,0,0,0,0
34610,0,0,0,0,0,0,0
34611,0,0,0,0,0,0,0
34612,0,0,0,0,0,0,0
34613,0,0,0,0,0,0,0
34614,0,0,0,0,0,0,0
34615,0,0,0,0,0,0,0
34616,0,0,0,0,0,0,0
34617,0,0,0,0,0,0,0
34618,0,0,0,0,0,0,0
34619,0,0,0,0,0,0,0
34620,0,0,0,0,0,0,0
34621,0,0,0,0,0,0,0
34622,0,0,0,0,0,0,0
34623,0,0,0,0,0,0,0
34624,0,0,0,0,0,0,0
34625,0,0,0,0,0,0,0
34626,0,0,0,0,0,0,0
34627,0,0,0,0,0,0,0
34628,0,0,0,0,0,0,0
34629,0,0,0,0,0,0,0
34630,0,0,0,0,0,0,0
34631,0,0,0,0,0,0,0
34632,0,0,0,0,0,0,0
34633,0,0,0,0,0,0,0
35000,298,298,298,298,298,298,298
35001,312,312,312,311,311,311,310
35002,312,312,312,311,304,311,310
35010,304,304,304,304,304,304,304
35011,293,293,293,293,293,292,293
35100,2,2,2,2,2,2,2
35110,576,576,576,576,576,576,576
35111,500,500,500,500,500,500,500
35112,500,500,500,500,500,500,500
36000,0,0,0,0,0,0,0
36001,0,0,0,0,0,0,0
36100,0,0,0,0,0,0,0
36101,0,0,0,0,0,0,0
36102,0,0,0,0,0,0,0
36103,0,0,0,0,0,0,0
37000,1,1,1,1,1,1,1
37001,0,0,0,0,0,0,0
37002,0,0,0,0,0,0,0
37003,0,0,0,0,0,0,0
37004,64546,64546,64546,64546,64546,64546,64546
37005,8,8,8,8,8,8,8
37006,304,304,304,304,303,303,303
37007,3192,3192,3193,3192,3192,3193,3193
37008,3189,3189,3189,3190,3190,3190,3191
37009,0,0,0,0,0,0,0
37010,0,0,0,0,0,0,0
37011,0,0,0,0,0,0,0
37012,116,116,116,116,116,116,116
37013,0,0,0,0,0,0,0
37014,0,0,0,0,0,0,0
37015,0,0,0,0,0,0,0
37016,0,0,0,0,0,0,0
37017,0,0,0,0,0,0,0
37018,0,0,0,0,0,0,0
37019,0,0,0,0,0,0,0
37020,0,0,0,0,0,0,0
37021,0,0,0,0,0,0,0
37022,0,0,0,0,0,0,0
37023,0,0,0,0,0,0,0
37024,0,0,0,0,0,0,0
41000,0,0,0,0,0,0,0
41100,1,1,1,1,1,1,1
41200,1,1,1,1,1,1,1
42000,21947,21947,21947,21947,21947,21947,21947
42010,0,0,0,0,0,0,0
42011,0,0,0,0,0,0,0
42020,0,0,0,0,0,0,0
42021,0,0,0,0,0,0,0
43000,0,0,0,0,0,0,0
43100,127,127,127,127,127,127,127
43101,0,0,0,0,0,0,0
43102,0,0,0,0,0,0,0
43103,2200,2200,2200,2200,2200,2200,2200
43104,0,0,0,0,0,0,0
43105,0,0,0,0,0,0,0
43106,0,0,0,0,0,0,0
43107,0,0,0,0,0,0,0
43108,0,0,0,0,0,0,0
43109,0,0,0,0,0,0,0
43110,0,0,0,0,0,0,0
43111,0,0,0,0,0,0,0
43112,0,0,0,0,0,0,0
43113,0,0,0,0,0,0,0
43114,0,0,0,0,0,0,0
43115,0,0,0,0,0,0,0
43116,0,0,0,0,0,0,0
43117,0,0,0,0,0,0,0
43118,0,0,0,0,0,0,0
43119,0,0,0,0,0,0,0
43120,0,0,0,0,0,0,0
43121,0,0,0,0,0,0,0
43122,0,0,0,0,0,0,0
43123,0,0,0,0,0,0,0
43124,0,0,0,0,0,0,0
43125,0,0,0,0,0,0,0
43126,0,0,0,0,0,0,0
43127,0,0,0,0,0,0,0
43128,0,0,0,0,0,0,0
43129,0,0,0,0,0,0,0
44002,0,0,0,0,0,0,0
44003,0,0,0,0,0,0,0
